,event,projection,event category
0,kick,0.47626999999999997,punctive count
1,shake,1.0122625000000003,punctive count
2,kiss,0.3023125,punctive count
3,hug,0.73925,punctive count
4,cuddle,0.6675100000000002,punctive count
5,presentation,0.06737749999999999,durative count
6,speech,0.220485,durative count
7,talk,0.3386675,durative count
8,address,0.2669925,durative count
9,lecture,0.896785,durative count
10,support,0.30962749999999994,durative mass
11,encouragement,0.8402499999999999,durative mass
12,advice,0.29639249999999995,durative mass
13,thanks,-0.010192500000000004,durative mass
14,assurance,0.44364,durative mass
15,recognition,0.17217000000000002,durative mass
16,wink,0.3572074999999999,punctive count
17,check,-0.24355499999999997,durative count
