,event,projection,event category
0,kiss,-0.06092750000000001,punctive count
1,wink,-0.6080099999999998,punctive count
2,hug,0.6068775,punctive count
3,shake,-0.9733400000000001,punctive count
4,cuddle,0.6513625000000001,punctive count
5,address,-0.05488999999999998,durative count
6,kick,-0.36448749999999996,punctive count
7,speech,-0.008117500000000001,durative count
8,lecture,0.4418274999999999,durative count
9,presentation,-0.1926775,durative count
10,talk,0.26832500000000004,durative count
11,check,-0.5271924999999998,durative count
12,thanks,0.45901000000000014,durative mass
13,recognition,-0.238305,durative mass
14,assurance,-0.6493024999999999,durative mass
15,support,0.2150475,durative mass
16,encouragement,-0.13377999999999998,durative mass
17,advice,0.018472499999999982,durative mass
