,event,projection,event category
0,kick,0.7643375000000001,punctive count
1,shake,0.41886999999999996,punctive count
2,kiss,0.235095,punctive count
3,hug,1.0060224999999998,punctive count
4,cuddle,1.2116699999999998,punctive count
5,presentation,-0.03964500000000001,durative count
6,speech,0.5545649999999999,durative count
7,talk,0.6667775,durative count
8,address,0.04409,durative count
9,lecture,0.5118625000000001,durative count
10,support,0.39853249999999996,durative mass
11,encouragement,0.29803250000000003,durative mass
12,advice,-0.11158000000000001,durative mass
13,thanks,0.21136999999999997,durative mass
14,assurance,0.18612749999999997,durative mass
15,recognition,-0.06987750000000001,durative mass
16,wink,0.29037499999999994,punctive count
17,check,-0.39740749999999997,durative count
